lat,long,sig,num_of_events
36.0475306309009,-98.10444144153152,0.84,111
37.28459559811321,-117.35432547075472,0.89,106
47.014553125,-112.654437846875,1.02,96
32.65028426813354,-115.80919752336874,0.98,658
38.79497465721649,-122.77593376082474,1.02,388
43.748999999999995,-73.91540513076923,1.59,13
46.21487965376088,-122.18241646983373,0.81,421
31.929027586206896,-104.31409137931034,0.92,58
43.42341084337349,-110.56384939759036,1.06,83
36.509844831034485,-89.69939655172413,1.44,58
34.95218986582278,-119.13236075316456,1.22,79
41.89148658678679,-119.6604057063063,0.88,333
44.34939228745098,-115.15506039215686,0.91,255
35.63419957512821,-121.02780213589743,0.98,390
38.06665367922078,-112.51897185584416,0.93,77
37.08344458598726,-104.84262292993631,0.95,157
38.77651720430107,-118.505320072043,0.89,93
35.894180852588995,-117.70359390857605,0.94,618
38.38130256153846,-81.44819487692308,1.33,13
40.58628192990654,-124.78398753831775,1.3,107
44.03348571428572,-98.97694285714286,1.02,7
41.13473533333333,-114.90996266666667,0.93,150
25.374111111111112,-99.65176666666667,1.29,18
34.13463451878172,-116.91094416142133,1.41,194
32.75032167,-87.526813335,0.93,20
32.785442857142854,-97.23004,1.7,35
37.30230703888889,-114.67658778,0.98,90
44.76061935483871,-111.96646129193549,0.88,62
35.70232357968326,-97.32143941678733,0.96,663
34.7061,-109.4241,0.76,1
35.3209270828125,-92.37464062812501,1.21,64
41.9144,-65.7466,1.22,5
36.90542289055138,-98.09052280701755,0.9,399
40.75891818727273,-111.91839151818182,1.72,55
36.886021213333336,-121.54762626121212,1.17,165
27.75892,-105.619192,1.28,50
30.536500000000004,-90.781,0.79,2
40.097298808333335,-120.956046825,1.07,84
32.964828125,-100.825390625,0.95,32
40.909019672131144,-116.44878524590163,0.86,61
48.06367777407407,-122.0006555496296,1.43,45
39.04788888666667,-108.74243333333334,1.19,15
40.3626805531746,-124.42936309880952,1.12,252
32.36696600273225,-115.33379477595628,0.99,573
37.480636726792454,-118.7637753554717,0.9,265
32.83307960298508,-118.34201989850746,1.14,67
41.77321052105263,-112.16292982631579,1.0,19
28.911334375,-98.012978125,0.95,32
42.92944166666667,-108.07853333333333,0.9,24
35.642398984848484,-84.2904899,1.43,33
46.181238085714284,-118.88988094285713,0.93,14
36.52249170731707,-98.77046609756096,0.88,410
38.62780523714286,-119.51812999857142,0.97,70
38.15610507043478,-117.91836094282608,0.94,460
32.92313636363636,-79.99127272727273,1.4,11
44.62780201034482,-110.77139051206896,0.88,116
36.22674334038055,-97.46758181816067,0.9,473
41.79311333333333,-81.03638222000001,1.6,15
40.168920825,-76.7565625,2.24,8
38.373950982352945,-88.02019608235294,2.04,17
39.1965875,-99.4702375,1.05,16
47.67758853645833,-120.18734375,1.08,32
33.940133331764706,-116.19470196117646,1.16,85
34.28498125,-106.9623375,0.87,16
32.64125909090909,-108.84751136363636,0.99,44
34.75241935483871,-111.81652903225806,1.17,31
44.9757708375,-68.0955625,1.25,8
34.76973295511364,-116.40081723465909,0.93,176
47.82603566046512,-114.30287984418605,0.87,43
45.28808771578947,-122.9715087736842,1.69,19
43.42494444444444,-103.11758888888889,1.03,9
36.63786351773585,-121.21671698188679,0.99,265
37.32586965,-121.73120299871795,1.71,78
31.86170226650485,-115.81208089757281,0.9,206
46.080870833333336,-111.34002152708334,1.02,48
38.9112153975,-97.78691032944444,1.19,36
35.492955555555554,-101.74910555555556,0.98,18
42.331874935416664,-124.06017705,1.07,16
29.814883333333334,-103.19805,0.97,6
34.02646436100629,-117.55625996100629,2.09,161
38.80512837837838,-115.77232567567567,0.89,74
27.799374999999998,-88.48935,1.84,8
33.11617197388535,-115.62037473375796,0.97,311
40.851299517391304,-123.69362801594202,1.23,69
36.19818709677419,-96.88556096774194,0.93,310
47.855076665,-116.60307500500001,1.12,20
45.23942472903226,-120.93802150322581,0.96,31
40.15039696969697,-117.55972121212122,0.91,33
37.74585898461539,-110.7013718,0.9,13
41.220148144444444,-86.61251111111112,2.62,9
37.88632075660377,-122.1202578572327,2.13,159
47.492755314893614,-123.01510993333335,1.69,47
36.003521605555555,-120.00058024074073,0.93,55
31.989644444444444,-94.15256666666667,1.53,9
39.833166675,-72.117025,2.43,4
33.10217957957747,-116.21980868380282,1.14,145
40.46420833333333,-119.45950555555555,0.87,36
37.85746154615385,-77.9793718,2.67,13
35.6829350814093,-117.47097996011995,1.0,667
44.621846653333336,-124.31524221555553,1.22,15
40.36912916666667,-107.02622083333333,0.98,24
31.941923775094335,-114.92747295660378,0.97,240
33.46935515773809,-116.59855654761905,1.36,168
40.58731515272727,-121.94644545454545,0.93,55
33.912999996551726,-119.39329597413793,1.48,58
44.51699318181818,-114.19882272727273,0.95,88
36.07213146956522,-120.50502587950311,1.04,160
34.33582432432432,-96.76439189189189,0.87,37
44.70040162682927,-116.31033414634146,0.86,41
42.59192065050505,-111.4154358023569,0.96,297
32.17318408528199,-115.23400573026134,0.92,729
39.28839333111111,-111.60241777777777,0.91,45
38.17760731504065,-118.73900230772358,0.99,246
41.52087970434783,-109.72665508695653,0.82,23
39.52371609655172,-123.16322873310344,1.03,145
31.26073166666667,-103.19024333333333,0.78,60
34.4354246,-120.49776189761904,1.29,42
41.59064285714285,-100.14966666666666,0.96,21
36.124545454545455,-106.37989999999999,0.83,11
33.291916675,-82.579208325,1.78,8
48.46561458125,-123.27165103854165,1.14,32
32.26150233098591,-117.44400936056338,1.27,71
36.6648083325,-113.297775835,0.89,40
48.20385,-104.11335,0.99,2
36.8072347992543,-97.69837680051627,0.87,523
43.53938094285714,-70.39252381428571,1.73,7
36.580001284615385,-115.91050512692307,0.93,26
39.269,-94.462,1.12,6
31.957532965934067,-116.37628754615385,0.96,91
36.19362402296512,-117.93652616889534,0.96,344
32.942444433333335,-124.05344443333334,1.0,3
43.400373333333334,-106.03502,0.84,15
35.46411550916667,-96.62753287034721,1.07,144
34.06481932857143,-118.51669748487394,2.21,120
39.48365303030303,-119.93647777651515,1.21,132
33.218927783333335,-90.1217,1.2,6
30.66863548387097,-105.63496451612903,1.03,31
45.3793290038961,-112.47886233766233,0.98,77
35.36335087236842,-118.45655482236842,1.02,76
26.300349999999998,-94.82287500000001,1.12,4
